Indicator,CT,U.S. Avg,CT Rank,+/-% since 2010**
Public Schools (A Great Deal or Some),88.10%,84.50%,13th,n/a
Media (A Great Deal or Some),59.20%,55.00%,12th,n/a
Corporations (A Great Deal or Some),63.90%,64.50%,36th,n/a
