Indicator,No High School Diploma,Bachelor’s Degree or more,Family Income less than $35k,Family Income $75k or more,CT Total
"Voter Turnout, 2012 Presidential Election",40.40%,75.30%,45.70%,71.50%,62.70%
"Volunteering, 2013",13.10%,37.20%,20.60%,34.50%,27.80%
