Group,Bar,Label,Value
Discuss Politics Frequently,Connecticut,,27.8
Discuss Politics Frequently,United States,,27
Boycott or Buy-cott,Connecticut,,14
Boycott or Buy-cott,United States,,12.8
Contact a Public Official,Connecticut,,13.8
Contact a Public Official,United States,,10.8
Use Internet to Express Public Opinion Frequently,Connecticut,,8.4
Use Internet to Express Public Opinion Frequently,United States,,7.9
