Group,Bar,Label,Value
Corporations,Connecticut,Rank: 36th,63.9
Corporations,United States,,64.5
Media,Connecticut,Rank: 12th,59.2
Media,United States,,55
Public Schools,Connecticut,Rank: 13th,88.1
Public Schools,United States,,54.5
Local Government,Connecticut,,60
Police,Connecticut,,75
