Indicator,CT,U.S. Avg,CT Rank,+/-% since 2010**
Volunteer,27.80%,25.40%,22nd,-3.30%
Give to charity ($25 or more),56.20%,50.10%,12th,-2.20%
Work with Neighbors on a Community Issue,8.60%,7.60%,22nd,1.30%
Belong to a Community Group,35.10%,36.30%,36th,-1.80%
