Group,Bar,Label,Value
Use Internet to Express Opinion Frequently,18 to 24 Years,,8.3
Use Internet to Express Opinion Frequently,25 Years and Older,,8.4
Attend Public Meeting,18 to 24 Years,,3.2
Attend Public Meeting,25 Years and Older,,11.8
Talk Politics Frequently,18 to 24 Years,,17.1
Talk Politics Frequently,25 Years and Older,,29.5
Talk with Neighbors Frequently,18 to 24 Years,,33.6
Talk with Neighbors Frequently,25 Years and Older,,46.4
Vote in Local Elections (Always or Sometimes),18 to 24 Years,,29
Vote in Local Elections (Always or Sometimes),25 Years and Older,,67.5
