Group,Bar,Label,Value
"Voter Registration, 2012 Presidential Election",Women,,72.4
"Voter Registration, 2012 Presidential Election",Men,,68.3
Vote in Local Elections (Always or Sometimes),Women,,66.5
Vote in Local Elections (Always or Sometimes),Men,,60.2
Talk Politics Frequently,Women,,23.6
Talk Politics Frequently,Men,,32.6
Contact Public Officials,Women,,13
Contact Public Officials,Men,,14.6
