Group,Bar,Label,Value
Last Ranked,Voter Registration,HI,58.9
CT,Voter Registration,,70.5
U.S. Avg,Voter Registration,,71.2
First Ranked,Voter Registration,MS,84.2
Last Ranked,Voter Turnout,WV,47.8
U.S. Avg,Voter Turnout,,61.8
CT,Voter Turnout,,62.7
First Ranked,Voter Turnout,DC,75.9
