Indicator,CT,U.S. Avg,CT Rank,+/-% since 2010**
Eat Dinner with Family (Frequently),88.70%,87.80%,28th,1.30%
Talk with Neighbors (Frequently),45.50%,41.40%,11th,2.60%
Exchange Favors with Neighbors (Frequently),11.70%,12.10%,33rd,-2.90%
