Group,Bar,Label,Value
Registered to Vote in 2012,White,,73.5
Registered to Vote in 2012,African American,,64.2
Registered to Vote in 2012,Latino,,57.7
Voted in the 2012 Presidential Election,White,,65.8
Voted in the 2012 Presidential Election,African American,,62.2
Voted in the 2012 Presidential Election,Latino,,47
